"doi","altmetric","author_no"
"10.1177/2056305119898776",27,2
"10.1177/2056305120903441",119,2
"10.1177/2056305119898777",NA,5
"10.1177/2056305119898779",NA,2
"10.1177/2056305119897323",86,1
"10.1177/2056305119897319",3,2
"10.1177/14614448251317693",NA,3
"10.1177/14614448251314869",NA,3
"10.1177/14614448251315128",21,2
"10.1177/14614448251314448",3,1
"10.1177/14614448241311338",NA,1
"10.1177/14614448241279250",NA,2
"10.1177/14614448241268995",NA,3
"10.1177/14614448241278709",7,1
"10.1177/14614448241313328",NA,3
"10.1177/14614448241313180",4,5
"10.1177/14614448241304657",1,3
"10.1177/14614448241312900",10,5
"10.1177/14614448241312525",NA,5
"10.1177/14614448241312191",23,6
"10.1177/14614448241310901",1,3
"10.1177/14614448241310249",2,3
"10.1177/14614448241310247",3,3
"10.1177/14614448241310497",NA,3
"10.1177/14614448241306455",2,3
"10.1177/14614448241307036",NA,3
"10.1177/14614448241308520",9,1
"10.1177/14614448241307035",1,7
"10.1177/14614448241308521",NA,6
"10.1177/14614448241307931",NA,5
"10.1177/14614448241305420",8,3
"10.1177/14614448241307578",NA,1
"10.1177/14614448241302319",NA,1
"10.1177/14614448241304106",127,1
"10.1177/14614448241303114",5,3
"10.1177/14614448241304658",NA,2
"10.1177/14614448241303999",18,4
"10.1177/14614448241303465",3,1
"10.1177/14614448241304660",1,1
"10.1177/14614448241303776",NA,2
"10.1177/14614448241303113",NA,3
"10.1177/14614448241302467",NA,1
"10.1177/14614448241302312",14,3
"10.1177/14614448241301741",NA,3
"10.1177/14614448241302429",NA,1
"10.1177/14614448241302311",NA,3
"10.1177/14614448241302409",10,3
"10.1177/14614448241295721",2,4
"10.1177/14614448241295718",14,3
"10.1177/14614448241294014",6,1
"10.1177/14614448241298237",NA,3
"10.1177/14614448241293143",NA,1
"10.1177/14614448241292740",NA,3
"10.1177/14614448241295304",NA,2
"10.1177/14614448241293409",5,3
"10.1177/14614448241287729",NA,3
"10.1177/14614448241293154",NA,4
"10.1177/14614448241291137",13,3
"10.1177/14614448241287763",6,4
"10.1177/14614448241291990",NA,3
"10.1177/14614448241291987",NA,3
"10.1177/14614448241290234",NA,1
"10.1177/14614448241289905",12,4
"10.1177/14614448241288159",NA,3
"10.1177/14614448241287913",NA,2
"10.1177/14614448241287831",2,1
"10.1177/14614448241286144",NA,1
"10.1177/14614448241285562",16,10
"10.1177/14614448241288482",1,3
"10.1177/14614448241286881",6,2
"10.1177/14614448241286788",21,3
"10.1177/14614448241285443",NA,1
"10.1177/14614448241287510",NA,2
"10.1177/14614448241285445",8,3
"10.1177/14614448241274469",2,3
"10.1177/14614448241284612",1,2
"10.1177/14614448241284413",68,2
"10.1177/14614448241270542",NA,4
"10.1177/14614448241283943",NA,4
"10.1177/14614448241281827",132,2
"10.1177/14614448241282604",3,2
"10.1177/14614448241279034",2,4
"10.1177/14614448241278344",NA,1
"10.1177/14614448241278674",19,4
"10.1177/14614448241276382",NA,1
"10.1177/14614448241277193",1,1
"10.1177/14614448241274457",NA,2
"10.1177/14614448241274777",2,2
"10.1177/14614448241265655",3,2
"10.1177/14614448241251804",33,2
"10.1177/14614448241251802",9,1
"10.1177/14614448241251801",NA,2
"10.1177/14614448241251800",1,1
"10.1177/14614448241251798",13,1
"10.1177/14614448241251797",1,2
"10.1177/14614448241251796",1,5
"10.1177/14614448241251794",4,2
"10.1177/14614448241251793",NA,2
"10.1177/14614448241251791",14,2
"10.1177/14614448241251789",13,2
"10.1177/14614448241272201",16,4
"10.1177/14614448241270541",NA,2
"10.1177/14614448241274456",4,1
"10.1177/14614448241270470",NA,4
"10.1177/14614448241270412",NA,1
"10.1177/14614448241270406",4,5
"10.1177/14614448241270446",NA,1
"10.1177/14614448241270434",2,1
"10.1177/14614448241267731",NA,5
"10.1177/14614448241268896",3,1
"10.1177/14614448241266770",4,2
"10.1177/14614448241263757",2,4
"10.1177/14614448241266769",NA,2
"10.1177/14614448241260591",NA,2
"10.1177/14614448241259028",1,4
"10.1177/14614448241267004",1,3
"10.1177/14614448241266984",NA,1
"10.1177/14614448241266782",40,1
"10.1177/14614448241265513",NA,2
"10.1177/14614448241264450",NA,2
"10.1177/14614448241263765",8,6
"10.1177/14614448241263933",14,2
"10.1177/14614448241262988",2,3
"10.1177/14614448241262809",NA,4
"10.1177/14614448241262808",1,4
"10.1177/14614448241262805",1,1
"10.1177/14614448241262417",1,2
"10.1177/14614448241262415",8,3
"10.1177/14614448241261945",1,3
"10.1177/14614448241262984",NA,1
"10.1177/14614448241262806",NA,3
"10.1177/14614448241258704",2,5
"10.1177/14614448241255379",1,5
"10.1177/14614448241259715",NA,3
"10.1177/14614448241252591",1,4
"10.1177/14614448241259149",NA,4
"10.1177/14614448241257216",NA,1
"10.1177/14614448241256899",12,4
"10.1177/14614448241255562",NA,2
"10.1177/14614448241254126",NA,3
"10.1177/14614448241253770",46,1
"10.1177/14614448241253764",300,2
"10.1177/14614448241255955",9,1
"10.1177/14614448241254028",NA,8
"10.1177/14614448241254015",3,4
"10.1177/14614448241255692",4,1
"10.1177/14614448241252594",NA,4
"10.1177/14614448241253138",10,2
"10.1177/14614448241252919",8,7
"10.1177/14614448241253766",4,1
"10.1177/14614448241252820",NA,5
"10.1177/14614448241252392",4,1
"10.1177/14614448241252391",NA,5
"10.1177/14614448241250302",32,4
"10.1177/14614448241249371",22,2
"10.1177/14614448241248139",NA,2
"10.1177/14614448241252593",24,4
"10.1177/14614448241247822",111,3
"10.1177/14614448241248655",NA,1
"10.1177/14614448241250029",17,1
"10.1177/14614448241247313",NA,2
"10.1177/14614448241250033",NA,2
"10.1177/14614448241249134",6,2
"10.1177/14614448241245349",1,2
"10.1177/14614448241244735",16,1
"10.1177/14614448241248372",14,4
"10.1177/14614448241247314",1,2
"10.1177/14614448241247209",NA,8
"10.1177/14614448241247214",NA,2
"10.1177/14614448241243099",NA,2
"10.1177/14614448241243094",12,1
"10.1177/14614448241245421",NA,1
"10.1177/14614448241243352",NA,2
"10.1177/14614448241243096",NA,1
"10.1177/14614448241243098",26,5
"10.1177/14614448241243097",7,1
"10.1177/14614448241243095",2,2
"10.1177/14614448241237764",NA,1
"10.1177/14614448241237496",8,3
"10.1177/14614448241240046",NA,1
"10.1177/14614448241239579",NA,2
"10.1177/14614448241237765",NA,3
"10.1177/14614448241238396",43,3
"10.1177/14614448241238395",6,1
"10.1177/14614448241236712",4,3
"10.1177/14614448241234040",3,3
"10.1177/14614448241236853",NA,3
"10.1177/14614448241236707",13,1
"10.1177/14614448241235904",NA,4
"10.1177/14614448241237489",11,1
"10.1177/14614448241236852",NA,2
"10.1177/14614448241236709",NA,2
"10.1177/14614448241235914",18,2
"10.1177/14614448241237487",6,2
"10.1177/14614448241235935",NA,4
"10.1177/14614448241235638",NA,2
"10.1177/14614448241234916",12,8
"10.1177/14614448231224031",NA,3
"10.1177/14614448241234941",NA,4
"10.1177/14614448241232065",19,5
"10.1177/14614448241234864",NA,1
"10.1177/14614448241232589",8,4
"10.1177/14614448241235192",NA,1
"10.1177/14614448241235188",1,1
"10.1177/14614448241236756",2,1
"10.1177/14614448241232296",NA,3
"10.1177/14614448241232086",NA,2
"10.1177/14614448241231223",NA,1
"10.1177/14614448241227841",4,3
"10.1177/14614448241232345",NA,5
"10.1177/14614448241232144",42,3
"10.1177/14614448231202137",7,3
"10.1177/14614448231201651",NA,3
"10.1177/14614448231201650",NA,2
"10.1177/14614448231201649",NA,2
"10.1177/14614448231201648",12,3
"10.1177/14614448231201647",7,1
"10.1177/14614448231201646",NA,3
"10.1177/14614448231201644",8,2
"10.1177/14614448231201641",NA,1
"10.1177/14614448231201638",11,5
"10.1177/14614448231201637",3,2
"10.1177/14614448241232143",3,1
"10.1177/14614448241230461",NA,4
"10.1177/14614448241232079",8,4
"10.1177/14614448241232067",2,4
"10.1177/14614448241230923",3,4
"10.1177/14614448241229424",NA,2
"10.1177/14614448241229175",2,1
"10.1177/14614448241229156",33,4
"10.1177/14614448241228809",1,2
"10.1177/14614448241229048",8,2
"10.1177/14614448241227856",7,2
"10.1177/14614448241228544",118,1
"10.1177/14614448241229406",NA,1
"10.1177/14614448241228851",94,4
"10.1177/14614448241227842",1,2
"10.1177/14614448241228850",6,4
"10.1177/14614448241227851",5,4
"10.1177/14614448241227967",12,3
"10.1177/14614448241227843",2,2
"10.1177/14614448231226213",3,2
"10.1177/14614448231226172",3,3
"10.1177/14614448231223732",19,5
"10.1177/14614448231218992",46,4
"10.1177/14614448231226400",NA,11
"10.1177/14614448231223517",NA,3
"10.1177/14614448231222558",169,3
"10.1177/14614448231222249",3,4
"10.1177/14614448231220856",NA,2
"10.1177/14614448231220919",NA,1
"10.1177/14614448231223419",40,4
"10.1177/14614448231222944",1,1
"10.1177/14614448231221238",NA,1
"10.1177/14614448231220346",NA,3
"10.1177/14614448231220383",NA,3
"10.1177/14614448231220589",NA,1
"10.1177/14614448231218991",102,2
"10.1177/14614448231218989",33,3
"10.1177/14614448231220362",6,2
"10.1177/14614448231217994",5,3
"10.1177/14614448231217993",57,2
"10.1177/14614448231217428",4,2
"10.1177/14614448231217425",12,7
"10.1177/14614448231213944",NA,2
"10.1177/14614448231215735",1,4
"10.1177/14614448231215483",8,4
"10.1177/14614448231215348",NA,6
"10.1177/14614448231212822",1,3
"10.1177/14614448231215486",NA,2
"10.1177/14614448231214811",30,3
"10.1177/14614448231214149",6,6
"10.1177/14614448231213942",35,2
"10.1177/14614448231209475",NA,4
"10.1177/14614448231213954",NA,3
"10.1177/14614448231213624",NA,3
"10.1177/14614448231213267",9,4
"10.1177/14614448231208122",2,7
"10.1177/14614448231212804",8,4
"10.1177/14614448231209946",7,5
"10.1177/14614448231207783",9,6
"10.1177/14614448231164408",7,3
"10.1177/14614448231158387",27,2
"10.1177/14614448231207101",NA,1
"10.1177/14614448231210268",NA,2
"10.1177/14614448231208920",43,2
"10.1177/14614448231204020",NA,1
"10.1177/14614448231208707",36,2
"10.1177/14614448231207644",NA,1
"10.1177/14614448231207784",NA,4
"10.1177/14614448231206466",NA,3
"10.1177/14614448231206458",58,3
"10.1177/14614448231205893",100,3
"10.1177/14614448231205892",NA,4
"10.1177/14614448231202477",NA,1
"10.1177/14614448231207100",4,1
"10.1177/14614448231206118",NA,1
"10.1177/14614448231205889",NA,1
"10.1177/14614448231203617",NA,4
"10.1177/14614448231206090",32,1
"10.1177/14614448231203310",9,3
"10.1177/14614448231202480",NA,4
"10.1177/14614448231203695",1,2
"10.1177/14614448231203309",3,1
"10.1177/14614448231200870",NA,4
"10.1177/14614448231203616",8,1
"10.1177/14614448231199247",NA,2
"10.1177/14614448231200877",NA,1
"10.1177/14614448231200248",NA,2
"10.1177/14614448231199396",6,2
"10.1177/14614448231198790",1,2
"10.1177/14614448231196863",31,3
"10.1177/14614448231199664",NA,7
"10.1177/14614448231198169",41,1
"10.1177/14614448231197640",NA,4
"10.1177/14614448231196579",7,3
"10.1177/14614448231197370",12,2
"10.1177/14614448231196580",9,3
"10.1177/14614448231193709",NA,5
"10.1177/14614448231193982",1,1
"10.1177/14614448231192964",NA,2
"10.1177/14614448231193093",23,4
"10.1177/14614448231192966",4,3
"10.1177/14614448231191542",NA,4
"10.1177/14614448231190907",NA,2
"10.1177/14614448231193092",NA,3
"10.1177/14614448231193091",NA,5
"10.1177/14614448231191776",4,2
"10.1177/14614448231191142",NA,2
"10.1177/14614448231191138",NA,2
"10.1177/14614448231191137",3,1
"10.1177/14614448231190905",NA,1
"10.1177/14614448231189801",2,2
"10.1177/14614448231186800",6,3
"10.1177/14614448231188935",6,4
"10.1177/14614448231190901",7,3
"10.1177/14614448231189856",NA,4
"10.1177/14614448231189800",2,2
"10.1177/14614448231168107",3,1
"10.1177/14614448231187529",6,6
"10.1177/14614448231189476",18,3
"10.1177/14614448231189262",1,1
"10.1177/14614448231189260",4,2
"10.1177/14614448231188971",NA,2
"10.1177/14614448231187032",NA,2
"10.1177/14614448231183617",54,6
"10.1177/14614448231188929",31,2
"10.1177/14614448231187823",6,6
"10.1177/14614448231187352",1,1
"10.1177/14614448231185764",12,3
"10.1177/14614448231187820",NA,3
"10.1177/14614448231186061",2,1
"10.1177/14614448231185595",NA,2
"10.1177/14614448231187031",5,1
"10.1177/14614448231184868",65,3
"10.1177/14614448231174525",NA,1
"10.1177/14614448231174524",NA,1
"10.1177/14614448231174523",6,1
"10.1177/14614448231174522",6,2
"10.1177/14614448231174521",NA,1
"10.1177/14614448231174520",4,2
"10.1177/14614448231174519",NA,1
"10.1177/14614448231183942",8,2
"10.1177/14614448231183704",10,4
"10.1177/14614448231183703",1,4
"10.1177/14614448231184249",13,3
"10.1177/14614448231184633",8,1
"10.1177/14614448231180257",2,3
"10.1177/14614448231182620",2,3
"10.1177/14614448231182662",9,2
"10.1177/14614448231182617",1,3
"10.1177/14614448231181620",1,2
"10.1177/14614448231179941",46,1
"10.1177/14614448231180654",3,1
"10.1177/14614448231176765",NA,2
"10.1177/14614448231178775",NA,3
"10.1177/14614448231178316",NA,3
"10.1177/14614448231176769",10,3
"10.1177/14614448231176552",22,1
"10.1177/14614448231176777",105,5
"10.1177/14614448231176758",2,2
"10.1177/14614448231176551",17,2
"10.1177/14614448231176519",13,3
"10.1177/14614448231177966",1,3
"10.1177/14614448231177301",6,3
"10.1177/14614448231174420",104,1
"10.1177/14614448231164409",61,4
"10.1177/14614448231173882",2,3
"10.1177/14614448231174224",23,2
"10.1177/14614448231172966",5,3
"10.1177/14614448231172168",NA,3
"10.1177/14614448231174518",NA,1
"10.1177/14614448231173328",NA,2
"10.1177/14614448231172967",23,1
"10.1177/14614448231169697",19,3
"10.1177/14614448231173657",NA,1
"10.1177/14614448231173121",5,1
"10.1177/14614448231172963",21,3
"10.1177/14614448231170814",1,2
"10.1177/14614448231168572",NA,3
"10.1177/14614448231165902",26,1
"10.1177/14614448231172976",NA,1
"10.1177/14614448231172964",3,3
"10.1177/14614448231172711",NA,4
"10.1177/14614448231170605",2,2
"10.1177/14614448231168566",NA,2
"10.1177/14614448231166896",NA,1
"10.1177/14614448231166056",1,2
"10.1177/14614448231165916",NA,2
"10.1177/14614448231165289",36,3
"10.1177/14614448231166356",1,4
"10.1177/14614448231166057",130,1
"10.1177/14614448231171560",75,5
"10.1177/14614448231164995",12,2
"10.1177/14614448231164934",NA,1
"10.1177/14614448231164638",NA,2
"10.1177/14614448231161598",NA,3
"10.1177/14614448231163284",NA,1
"10.1177/14614448231163228",NA,2
"10.1177/14614448231163231",NA,1
"10.1177/14614448231162585",13,4
"10.1177/14614448231162581",NA,3
"10.1177/14614448231162064",14,1
"10.1177/14614448231158654",NA,2
"10.1177/14614448231158653",NA,11
"10.1177/14614448231158651",15,2
"10.1177/14614448231158649",NA,2
"10.1177/14614448231158648",NA,4
"10.1177/14614448231158646",NA,5
"10.1177/14614448231158645",NA,4
"10.1177/14614448231158644",1,2
"10.1177/14614448231158642",NA,2
"10.1177/14614448231158614",2,2
"10.1177/14614448231161880",329,2
"10.1177/14614448231153959",NA,3
"10.1177/14614448231160706",NA,2
"10.1177/14614448231161512",34,1
"10.1177/14614448231161276",15,2
"10.1177/14614448231160457",79,3
"10.1177/14614448231160132",1,1
"10.1177/14614448231157330",59,3
"10.1177/14614448231160526",270,2
"10.1177/14614448231159350",NA,1
"10.1177/14614448231157640",159,4
"10.1177/14614448231154825",NA,1
"10.1177/14614448231159308",NA,4
"10.1177/14614448231156580",14,3
"10.1177/14614448231156579",NA,5
"10.1177/14614448231155376",3,3
"10.1177/14614448231154926",19,2
"10.1177/14614448231153971",NA,5
"10.1177/14614448231156992",4,1
"10.1177/14614448231154432",NA,3
"10.1177/14614448231153571",3,3
"10.1177/14614448231156852",NA,1
"10.1177/14614448231156131",NA,2
"10.1177/14614448231155624",NA,3
"10.1177/14614448221149942",6,1
"10.1177/14614448221149936",13,1
"10.1177/14614448221149944",NA,2
"10.1177/14614448221149939",20,1
"10.1177/14614448221149948",14,2
"10.1177/14614448221149938",7,1
"10.1177/14614448221149945",2,2
"10.1177/14614448221149946",1,1
"10.1177/14614448221149947",NA,1
"10.1177/14614448221128475",3,4
"10.1177/14614448221127675",NA,1
"10.1177/14614448221125417",1,1
"10.1177/14614448221097894",2,3
"10.1177/14614448231154568",NA,3
"10.1177/14614448231153379",443,2
"10.1177/14614448221150776",11,1
"10.1177/14614448231151436",NA,3
"10.1177/14614448221144989",NA,1
"10.1177/14614448231152546",46,3
"10.1177/14614448221151200",21,1
"10.1177/14614448221148982",3,3
"10.1177/14614448221148980",NA,4
"10.1177/14614448221147661",NA,3
"10.1177/14614448221149641",6,2
"10.1177/14614448221082649",10,3
"10.1177/14614448221144987",8,1
"10.1177/14614448221150775",11,7
"10.1177/14614448221150439",NA,3
"10.1177/14614448221149909",NA,3
"10.1177/14614448221149906",NA,3
"10.1177/14614448221149747",NA,3
"10.1177/14614448221147284",NA,1
"10.1177/14614448221146716",6,3
"10.1177/14614448221146174",110,4
"10.1177/14614448221146171",NA,3
"10.1177/14614448221145928",13,1
"10.1177/14614448221145728",2,3
"10.1177/14614448221142799",NA,2
"10.1177/14614448221146480",2,1
"10.1177/14614448221142800",96,7
"10.1177/14614448221142534",NA,3
"10.1177/14614448221142310",14,4
"10.1177/14614448221142007",150,5
"10.1177/14614448221141828",NA,2
"10.1177/14614448221143345",3,3
"10.1177/14614448221142822",NA,3
"10.1177/14614448221141705",1,1
"10.1177/14614448221141681",8,2
"10.1177/14614448221141648",74,2
"10.1177/14614448221141645",NA,2
"10.1177/14614448221141086",19,1
"10.1177/14614448221138973",54,3
"10.1177/14614448221138472",6,2
"10.1177/14614448221138529",56,5
"10.1177/14614448221137816",1,3
"10.1177/14614448221137324",25,5
"10.1177/14614448221138768",8,1
"10.1177/14614448221138075",NA,3
"10.1177/14614448221138072",NA,3
"10.1177/14614448221137016",3,3
"10.1177/14614448221136505",16,2
"10.1177/14614448221136508",NA,2
"10.1177/14614448221136082",22,1
"10.1177/14614448221136080",NA,3
"10.1177/14614448221136077",1,3
"10.1177/14614448221135886",NA,2
"10.1177/14614448221135879",NA,2
"10.1177/14614448221135631",9,2
"10.1177/14614448221135187",11,3
"10.1177/14614448221135861",9,3
"10.1177/14614448221135860",NA,6
"10.1177/14614448221135632",9,2
"10.1177/14614448221135159",14,2
"10.1177/14614448221134493",NA,3
"10.1177/14614448221133737",1,3
"10.1177/14614448221133535",2,2
"10.1177/14614448221130476",NA,3
"10.1177/14614448221132241",NA,1
"10.1177/14614448221130955",NA,3
"10.1177/14614448221130474",NA,2
"10.1177/14614448221128523",13,1
"10.1177/14614448221130738",4,4
"10.1177/14614448221130422",21,2
"10.1177/14614448221128827",23,2
"10.1177/14614448221127674",1,2
"10.1177/14614448221127258",4,3
"10.1177/14614448221126168",NA,2
"10.1177/14614448221122203",6,3
"10.1177/14614448221122240",6,1
"10.1177/14614448221122230",NA,1
"10.1177/14614448221122215",1,1
"10.1177/14614448221122214",1,2
"10.1177/14614448221122201",NA,2
"10.1177/14614448221122193",NA,1
"10.1177/14614448221122190",6,1
"10.1177/14614448221122168",6,2
"10.1177/14614448221122144",11,2
"10.1177/14614448221127212",NA,3
"10.1177/14614448221127899",6,3
"10.1177/14614448221127261",20,2
"10.1177/14614448221122186",NA,8
"10.1177/14614448221124085",NA,1
"10.1177/14614448221123279",13,1
"10.1177/14614448221122996",NA,2
"10.1177/14614448221122915",36,2
"10.1177/14614448221122734",NA,4
"10.1177/14614448221122228",NA,2
"10.1177/14614448221122224",23,1
"10.1177/14614448221122252",NA,1
"10.1177/14614448221122220",13,3
"10.1177/14614448221122211",NA,1
"10.1177/14614448221122202",10,4
"10.1177/14614448221122212",NA,2
"10.1177/14614448221122194",NA,4
"10.1177/14614448221122146",28,3
"10.1177/14614448221119785",165,2
"10.1177/14614448221113922",19,2
"10.1177/14614448221116569",2,5
"10.1177/14614448221117994",14,1
"10.1177/14614448221117499",16,1
"10.1177/14614448221116036",15,2
"10.1177/14614448221113923",115,2
"10.1177/14614448221117767",20,6
"10.1177/14614448221117748",12,2
"10.1177/14614448221117484",1,2
"10.1177/14614448221116344",20,2
"10.1177/14614448221114628",3,4
"10.1177/14614448221108108",NA,4
"10.1177/14614448221113007",NA,1
"10.1177/14614448221111009",15,1
"10.1177/14614448221109800",5,3
"10.1177/14614448221109952",NA,1
"10.1177/14614448221108957",58,3
"10.1177/14614448221109804",47,4
"10.1177/14614448221109801",1,1
"10.1177/14614448221109550",NA,1
"10.1177/14614448221108960",12,4
"10.1177/14614448221108112",1,2
"10.1177/14614448221108959",NA,1
"10.1177/14614448221108449",24,1
"10.1177/14614448221104405",56,4
"10.1177/14614448221104209",6,2
"10.1177/14614448221099235",68,2
"10.1177/14614448221099234",28,3
"10.1177/14614448221099233",13,1
"10.1177/14614448221099232",NA,1
"10.1177/14614448221099229",NA,1
"10.1177/14614448221099228",NA,1
"10.1177/14614448221099225",48,6
"10.1177/14614448221099224",17,1
"10.1177/14614448221099223",NA,3
"10.1177/14614448221108451",6,4
"10.1177/14614448221105877",11,2
"10.1177/14614448221105428",51,3
"10.1177/14614448221105847",1,1
"10.1177/14614448221104413",NA,4
"10.1177/14614448221106030",5,2
"10.1177/14614448221104948",NA,1
"10.1177/14614448221104234",2,2
"10.1177/14614448221104233",15,2
"10.1177/14614448221103534",75,2
"10.1177/14614448221103533",9,1
"10.1177/14614448221101783",17,2
"10.1177/14614448221100699",7,5
"10.1177/14614448221099860",10,1
"10.1177/14614448221099180",NA,2
"10.1177/14614448221100802",34,2
"10.1177/14614448221103176",NA,4
"10.1177/14614448221103124",17,3
"10.1177/14614448221102900",38,3
"10.1177/14614448221101163",1,1
"10.1177/14614448221100782",NA,4
"10.1177/14614448221099900",4,2
"10.1177/14614448221099591",36,2
"10.1177/14614448221099187",23,2
"10.1177/14614448221099587",3,1
"10.1177/14614448221099217",12,1
"10.1177/14614448221099170",NA,4
"10.1177/14614448221099173",5,5
"10.1177/14614448221099172",NA,1
"10.1177/14614448221097889",NA,1
"10.1177/14614448221097000",NA,5
"10.1177/14614448221099168",NA,3
"10.1177/14614448221100835",NA,4
"10.1177/14614448221099536",29,2
"10.1177/14614448221098360",6,2
"10.1177/14614448221098042",NA,3
"10.1177/14614448221097946",4,4
"10.1177/14614448221097891",NA,3
"10.1177/14614448221097305",3,2
"10.1177/14614448221096334",23,7
"10.1177/14614448221095437",18,1
"10.1177/14614448221095160",NA,1
"10.1177/14614448221095218",9,2
"10.1177/14614448221096768",1,1
"10.1177/14614448221090916",22,2
"10.1177/14614448221096806",NA,2
"10.1177/14614448211060841",NA,2
"10.1177/14614448221090194",NA,2
"10.1177/14614448221089604",NA,2
"10.1177/14614448221098364",NA,1
"10.1177/14614448221090195",NA,2
"10.1177/14614448221089278",NA,3
"10.1177/14614448221093762",10,19
"10.1177/14614448221093943",18,1
"10.1177/14614448221092006",77,1
"10.1177/14614448221091185",NA,3
"10.1177/14614448221092028",4,1
"10.1177/14614448221090201",28,2
"10.1177/14614448221090474",9,4
"10.1177/14614448221088866",NA,3
"10.1177/14614448221090638",3,1
"10.1177/14614448221088970",2,3
"10.1177/14614448221088274",59,3
"10.1177/14614448221083914",1,2
"10.1177/14614448221079035",30,6
"10.1177/14614448221079037",2,4
"10.1177/14614448221079028",NA,2
"10.1177/14614448221079034",1,1
"10.1177/14614448221079033",NA,2
"10.1177/14614448221079027",1,3
"10.1177/14614448221079032",24,1
"10.1177/14614448221079029",NA,1
"10.1177/14614448221080480",6,1
"10.1177/14614448221082651",70,5
"10.1177/14614448221085559",10,4
"10.1177/14614448221078865",20,5
"10.1177/14614448221086296",NA,1
"10.1177/14614448221083285",NA,2
"10.1177/14614448221079036",17,2
"10.1177/14614448221080481",4,2
"10.1177/14614448221082122",24,4
"10.1177/14614448221079030",41,3
"10.1177/14614448221084655",1,1
"10.1177/14614448221083992",55,3
"10.1177/14614448221083025",22,3
"10.1177/14614448221081802",NA,1
"10.1177/14614448221083903",58,2
"10.1177/14614448221083652",10,1
"10.1177/14614448221081426",10,2
"10.1177/14614448221079631",4,1
"10.1177/14614448221077240",7,3
"10.1177/14614448221081401",NA,1
"10.1177/14614448221077977",NA,6
"10.1177/14614448221077284",5,1
"10.1177/14614448221082082",12,1
"10.1177/14614448221077278",NA,2
"10.1177/14614448221078603",38,1
"10.1177/14614448221080717",NA,1
"10.1177/14614448221080460",NA,1
"10.1177/14614448221079626",NA,5
"10.1177/14614448221078119",9,2
"10.1177/14614448221078604",8,1
"10.1177/14614448211040247",13,1
"10.1177/14614448211040245",NA,1
"10.1177/14614448221075736",29,8
"10.1177/14614448211063190",10,1
"10.1177/14614448211063187",3,1
"10.1177/14614448211063186",NA,1
"10.1177/14614448211063185",2,2
"10.1177/14614448211063184",12,4
"10.1177/14614448211063183",NA,1
"10.1177/14614448211063182",NA,3
"10.1177/14614448211063181",NA,4
"10.1177/14614448211063180",NA,3
"10.1177/14614448211063178",1,2
"10.1177/14614448211063177",11,2
"10.1177/14614448211063174",22,1
"10.1177/14614448211063173",NA,2
"10.1177/14614448221077286",11,4
"10.1177/14614448221078274",NA,1
"10.1177/14614448221077354",5,1
"10.1177/14614448221076155",NA,7
"10.1177/14614448221075774",1,2
"10.1177/14614448221075759",215,3
"10.1177/14614448211072827",NA,1
"10.1177/14614448211072307",2,5
"10.1177/14614448211063621",70,2
"10.1177/14614448211064302",3,1
"10.1177/14614448221075296",7,3
"10.1177/14614448221074705",NA,4
"10.1177/14614448221074648",NA,4
"10.1177/14614448221074049",1,1
"10.1177/14614448211073059",13,3
"10.1177/14614448211072808",99,2
"10.1177/14614448211072257",NA,3
"10.1177/14614448211072201",3,4
"10.1177/14614448221074047",NA,1
"10.1177/14614448211072306",NA,8
"10.1177/14614448211069343",NA,2
"10.1177/14614448211068437",NA,2
"10.1177/14614448211063860",26,3
"10.1177/14614448211059114",7,3
"10.1177/14614448211063466",74,1
"10.1177/14614448211069996",6,2
"10.1177/14614448211068530",28,4
"10.1177/14614448211068104",10,3
"10.1177/14614448211067836",10,1
"10.1177/14614448211063899",23,2
"10.1177/14614448211068937",5,1
"10.1177/14614448211068436",6,1
"10.1177/14614448211067756",NA,1
"10.1177/14614448211067460",8,2
"10.1177/14614448211067462",2,1
"10.1177/14614448211065425",162,3
"10.1177/14614448211065420",1,2
"10.1177/14614448211067259",14,4
"10.1177/14614448211062545",NA,4
"10.1177/14614448211061729",46,3
"10.1177/14614448211059488",9,2
"10.1177/14614448211062548",20,2
"10.1177/14614448211059489",6,2
"10.1177/14614448211062393",10,3
"10.1177/14614448211062164",138,7
"10.1177/14614448211062123",NA,1
"10.1177/14614448211062070",63,3
"10.1177/14614448211061830",2,2
"10.1177/14614448211061829",94,2
"10.1177/14614448211061336",15,3
"10.1177/14614448211059121",NA,5
"10.1177/14614448211059529",9,2
"10.1177/14614448211059117",32,1
"10.1177/14614448211058850",NA,3
"10.1177/14614448211058455",55,1
"10.1177/14614448211058701",11,3
"10.1177/14614448211058468",9,5
"10.1177/14614448211057108",1,2
"10.1177/14614448211057106",34,3
"10.1177/14614448211056863",9,4
"10.1177/14614448211056851",69,1
"10.1177/14614448211055367",NA,2
"10.1177/14614448211055366",6,3
"10.1177/14614448211054778",1,1
"10.1177/14614448211054011",3,1
"10.1177/14614448211047955",NA,1
"10.1177/14614448211047951",19,2
"10.1177/14614448211054830",8,3
"10.1177/14614448211054377",2,2
"10.1177/14614448211054005",2,2
"10.1177/14614448211053559",NA,3
"10.1177/14614448211050928",NA,5
"10.1177/14614448211052893",25,2
"10.1177/14614448211053555",11,1
"10.1177/14614448211051984",NA,3
"10.1177/14614448211051648",NA,2
"10.1177/14614448211050885",NA,2
"10.1177/14614448211049264",8,1
